time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,geom,location,address,state,country
2022-10-13T02:06:45.547Z,62.258,-149.6884,50.4,2.2,ml,,,,0.24,ak,ak022d50xi96,2022-10-13T02:07:59.370Z,"13 km NE of Susitna North, Alaska",earthquake,,1.0,,,automatic,ak,ak,"-149.6884,62.258","Y, Matanuska-Susitna, Alaska, United States","{'locality': 'Y', 'county': 'Matanuska-Susitna', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-13T01:53:35.883Z,35.95118713,-97.87387085,4.408604622,2.17,ml,39.0,47.11604071,0.09280179441,0.3718200597,ok,ok2022uawd,2022-10-13T01:56:59.040Z,"4 km SE of Dover, Oklahoma",earthquake,1.821091788,1.749625332,,31.0,automatic,ok,ok,"-97.87387085,35.95118713","N2880 Road, Kingfisher County, Oklahoma, 73734, United States","{'road': 'N2880 Road', 'county': 'Kingfisher County', 'state': 'Oklahoma', 'ISO3166-2-lvl4': 'US-OK', 'postcode': '73734', 'country': 'United States', 'country_code': 'us'}",Oklahoma,United States
2022-10-13T01:47:00.530Z,38.8030014,-122.7611694,0.57,0.36,md,7.0,167.0,0.002632,0.03,nc,nc73792931,2022-10-13T01:48:35.735Z,"3km N of The Geysers, CA",earthquake,0.56,0.47,,1.0,automatic,nc,nc,"-122.7611694,38.8030014","Sonoma County, California, United States","{'county': 'Sonoma County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-13T01:44:25.890Z,19.1506671905518,-155.503173828125,33.3300018310547,2.52999997,md,43.0,140.0,,0.119999997,hv,hv73176377,2022-10-13T02:05:07.625Z,"6 km SSW of Pāhala, Hawaii",earthquake,0.64,0.75999999,1.20000005,28.0,automatic,hv,hv,"-155.503173828125,19.1506671905518","Mamalahoa Highway, Hawaiʻi County, Hawaii, 96777, United States","{'road': 'Mamalahoa Highway', 'county': 'Hawaiʻi County', 'state': 'Hawaii', 'ISO3166-2-lvl4': 'US-HI', 'postcode': '96777', 'country': 'United States', 'country_code': 'us'}",Hawaii,United States
2022-10-13T01:41:24.537Z,64.7956,-151.3943,13.3,1.5,ml,,,,0.87,ak,ak022d50jj30,2022-10-13T01:44:58.871Z,"42 km WSW of Manley Hot Springs, Alaska",earthquake,,0.3,,,automatic,ak,ak,"-151.3943,64.7956","Unorganized Borough, Alaska, United States","{'county': 'Unorganized Borough', 'state': 'Alaska', 'ISO3166-2-lvl4': 'US-AK', 'country': 'United States', 'country_code': 'us'}",Alaska,United States
2022-10-13T01:40:07.840Z,35.5043333,-118.3931667,2.84,0.84,ml,10.0,101.0,0.1713,0.2,ci,ci40360064,2022-10-13T01:43:33.650Z,"13km SE of Bodfish, CA",earthquake,0.51,1.71,0.131,7.0,automatic,ci,ci,"-118.3931667,35.5043333","Liebel Peak Trail (33E65), Burton Mill, Kern County, California, United States","{'road': 'Liebel Peak Trail (33E65)', 'hamlet': 'Burton Mill', 'county': 'Kern County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-13T01:20:55.624Z,-6.1237,150.4092,10.0,4.9,mb,31.0,68.0,4.582,0.88,us,us6000it72,2022-10-13T01:57:49.670Z,"New Britain region, Papua New Guinea",earthquake,6.52,1.897,0.106,28.0,reviewed,us,us,"150.4092,-6.1237","Kandrian District, West New Britain, Islands Region, Papua Niugini","{'county': 'Kandrian District', 'state': 'West New Britain', 'ISO3166-2-lvl4': 'PG-WBK', 'region': 'Islands Region', 'country': 'Papua Niugini', 'country_code': 'pg'}",West New Britain,Papua Niugini
2022-10-13T01:17:42.910Z,32.5391667,-115.2988333,20.82,1.64,ml,16.0,140.0,0.1538,0.22,ci,ci40360056,2022-10-13T01:21:25.231Z,"6km ESE of Puebla, B.C., MX",earthquake,0.55,1.53,0.209,16.0,automatic,ci,ci,"-115.2988333,32.5391667","Ejido Guanajuato, Municipio de Mexicali, Baja California, 21624, México","{'village': 'Ejido Guanajuato', 'county': 'Municipio de Mexicali', 'state': 'Baja California', 'ISO3166-2-lvl4': 'MX-BCN', 'postcode': '21624', 'country': 'México', 'country_code': 'mx'}",Baja California,México
2022-10-13T01:05:18.400Z,37.4326668,-121.7721634,10.04,1.72,md,31.0,110.0,0.05193,0.03,nc,nc73792926,2022-10-13T01:53:11.451Z,"9km NNE of Alum Rock, CA",earthquake,0.19,0.41,0.14,21.0,automatic,nc,nc,"-121.7721634,37.4326668","Santa Clara County, California, United States","{'county': 'Santa Clara County', 'state': 'California', 'ISO3166-2-lvl4': 'US-CA', 'country': 'United States', 'country_code': 'us'}",California,United States
2022-10-13T01:01:12.494Z,35.94200897,-97.89871216,4.500748158,1.72,ml,28.0,72.54324341,0.07363183796,0.30183794,ok,ok2022uauk,2022-10-13T01:04:59.012Z,"4 km SSE of Dover, Oklahoma",earthquake,2.524628572,2.199634617,,22.0,automatic,ok,ok,"-97.89871216,35.94200897","Kingfisher County, Oklahoma, 73734, United States","{'county': 'Kingfisher County', 'state': 'Oklahoma', 'ISO3166-2-lvl4': 'US-OK', 'postcode': '73734', 'country': 'United States', 'country_code': 'us'}",Oklahoma,United States
