magType,count,mean,std,min,25%,50%,75%,max
mb,2145.0,4.487505827505828,0.2738826998763961,3.5,4.3,4.5,4.6,5.5
mb_lg,14.0,2.5428571428571423,0.629669370768117,1.9,2.025,2.4,3.175,3.5
md,6452.0,1.2373992562213267,0.8318124646691921,-0.74,0.6,1.08,1.84,4.06
mh,22.0,0.059090909090909104,0.6601796948083374,-0.59,-0.41500000000000004,-0.07,0.3375,1.8
ml,12806.0,1.2464329220677808,0.8107836778494543,-1.17,0.77,1.23,1.7,5.1
mlr,8.0,3.51,0.22462667441143944,3.22,3.4075,3.505,3.6075,3.81
mlv,2.0,2.185754915,0.0,2.185754915,2.185754915,2.185754915,2.185754915,2.185754915
mw,20.0,4.092999999999999,0.564195748038979,3.35,3.67,3.83,4.84,4.84
mwr,58.0,4.5103448275862075,0.2845061311412942,3.9,4.3,4.6,4.7,5.1
mww,193.0,5.476683937823834,0.48199389324562963,4.7,5.2,5.4,5.7,7.6
