plate,lat,lon
am,30.754,132.824
am,32.326,135.026
am,34.059,138.383
am,36.027,138.121
am,37.856,137.889
am,39.832,138.352
am,41.995,138.824
am,44.295,138.577
am,46.516,139.938
am,49.241,142.761
am,52.542,142.692
am,55.06,135.138
am,56.774,126.96
am,57.316,119.918
am,56.418,113.656
am,53.401,108.393
am,50.143,105.375
am,47.38,106.048
am,44.987,106.765
am,42.636,109.041
am,40.921,115.235
am,41.329,121.313
am,38.824,125.551
am,36.718,126.101
am,34.252,126.263
am,32.173,124.072
an,-54.396,7.772
an,-54.101,7.237
an,-53.814,6.625
an,-54.114,6.184
an,-54.543,5.495
an,-54.309,5.084
an,-54.162,4.827
an,-54.43,4.415
an,-54.127,3.956
an,-53.834,3.369
an,-53.651,3.025
an,-54.037,2.36
an,-54.399,1.695
an,-54.832,0.965
an,-54.451,0.443
an,-54.677,-0.039
an,-54.852,-0.438
an,-54.852,-0.438
an,-55.019,-1.039
an,-55.129,-1.606
an,-55.653,-1.614
an,-55.657,-2.08
an,-55.707,-2.896
an,-55.74,-3.72
an,-55.769,-4.056
an,-55.807,-4.691
an,-56.21,-4.675
an,-56.592,-4.693
an,-56.627,-5.448
an,-56.672,-6.057
an,-56.982,-6.094
an,-57.24,-6.13
an,-57.27,-6.538
an,-57.318,-6.999
an,-57.617,-7.013
an,-57.869,-7.009
an,-57.92,-7.525
an,-57.989,-8.607
an,-58.092,-9.885
an,-58.158,-11.19
an,-58.241,-12.649
an,-58.317,-13.954
an,-58.39,-15.069
an,-58.439,-15.972
an,-58.459,-16.005
an,-58.767,-16.226
an,-59.098,-16.41
an,-59.098,-16.917
an,-59.129,-17.667
an,-59.153,-18.06
an,-59.509,-18.123
an,-59.542,-18.433
an,-59.938,-18.547
an,-60.25,-18.646
an,-60.289,-19.37
an,-60.811,-19.581
an,-60.782,-20.651
an,-60.744,-21.719
an,-60.723,-22.914
an,-60.692,-24.107
an,-60.545,-25.093
an,-60.391,-26.071
an,-60.391,-26.071
an,-60.506,-26.89
an,-60.617,-27.697
an,-60.617,-27.697
an,-60.601,-28.743
an,-60.575,-29.738
an,-60.512,-31.014
an,-60.409,-32.367
an,-60.409,-32.367
an,-60.701,-33.446
an,-60.989,-34.825
an,-61.392,-36.418
an,-61.243,-37.56
an,-61.018,-39.093
an,-60.634,-39.827
an,-60.975,-41.214
an,-60.501,-42.067
an,-60.376,-43.151
an,-60.242,-44.226
an,-60.242,-44.226
an,-60.092,-45.603
an,-59.96,-46.963
an,-59.968,-48.251
an,-60.044,-49.599
an,-60.094,-50.887
an,-60.572,-51.119
an,-60.753,-52.068
an,-61.037,-53.122
an,-61.51,-54.301
an,-61.51,-54.301
an,-61.687,-55.436
an,-62.063,-56.306
an,-62.304,-57.39
an,-62.553,-58.614
an,-62.945,-60.118
an,-63.293,-61.75
an,-63.001,-62.42
an,-62.825,-63.292
an,-62.422,-63.969
an,-62.422,-63.969
an,-62.11,-63.105
an,-61.841,-62.203
an,-61.543,-61.332
an,-61.363,-60.65
an,-61.177,-59.836
an,-61.082,-58.891
an,-60.962,-58.131
an,-60.855,-57.494
an,-60.565,-56.925
an,-60.565,-56.925
an,-59.999,-58.223
an,-59.728,-58.97
an,-59.453,-59.705
an,-59.011,-61.04
an,-58.603,-62.571
an,-58.359,-63.571
an,-57.959,-64.617
an,-57.959,-64.617
an,-57.736,-65.867
an,-57.502,-67.102
an,-57.072,-68.097
an,-56.852,-69.256
an,-56.622,-70.401
an,-56.255,-71.548
an,-55.962,-72.277
an,-55.665,-72.995
an,-55.359,-73.48
an,-55.004,-74.12
an,-54.645,-74.749
an,-54.294,-75.239
an,-53.941,-75.72
an,-53.435,-76.02
an,-52.928,-76.312
an,-52.068,-76.483
an,-52.068,-76.483
an,-51.377,-76.626
an,-50.729,-76.757
an,-49.845,-76.99
an,-49.192,-77.024
an,-48.507,-76.925
an,-47.875,-76.65
an,-47.478,-76.321
an,-47.08,-75.997
an,-46.422,-75.958
an,-45.658,-76.006
an,-45.658,-76.006
an,-45.643,-76.675
an,-45.761,-77.661
an,-45.589,-77.764
an,-45.092,-77.99
an,-44.411,-78.207
an,-44.545,-78.893
an,-44.666,-79.586
an,-44.782,-80.281
an,-44.876,-81.106
an,-44.964,-81.935
an,-44.404,-82.138
an,-43.639,-82.351
an,-42.861,-82.509
an,-42.981,-83.448
an,-42.873,-83.454
an,-42.222,-83.604
an,-41.674,-83.716
an,-41.125,-83.827
an,-41.191,-84.487
an,-41.253,-85.148
an,-41.392,-86.24
an,-41.521,-87.336
an,-41.273,-87.417
an,-41.319,-88.447
an,-41.378,-89.25
an,-41.432,-90.054
an,-41.059,-90.088
an,-41.082,-90.739
an,-41.102,-91.391
an,-40.732,-91.476
an,-40.282,-91.512
an,-39.833,-91.548
an,-39.349,-91.603
an,-38.866,-91.658
an,-38.918,-92.34
an,-38.967,-93.022
an,-38.429,-93.075
an,-38.482,-93.996
an,-37.717,-94.093
an,-37.001,-94.13
an,-36.985,-94.909
an,-36.965,-95.689
an,-36.921,-96.552
an,-36.871,-97.413
